class,seed,pretrain_seed,method,auroc,auprc
class_Statin,45,0,finlayson_expression,0.9333333333333333,0.5454545454545454
class_Statin,45,0,finlayson_concat,0.9500000000000001,0.5588235294117647
class_Statin,45,1,finlayson_structure,0.96,0.3269230769230769
class_Statin,45,1,finlayson_expression,0.9066666666666667,0.5333333333333333
class_Statin,45,1,finlayson_concat,0.9566666666666667,0.5666666666666667
class_Statin,45,2,finlayson_structure,0.9133333333333333,0.28703703703703703
class_Statin,45,2,finlayson_expression,0.9299999999999999,0.5434782608695652
class_Statin,45,2,finlayson_concat,0.9266666666666666,0.2934782608695652
class_Statin,46,0,finlayson_structure,0.9966666666666666,0.8333333333333333
class_Statin,46,0,finlayson_expression,1.0,1.0
class_Statin,46,0,finlayson_concat,1.0,1.0
class_Statin,46,1,finlayson_structure,1.0,1.0
class_Statin,46,1,finlayson_expression,1.0,1.0
class_Statin,46,1,finlayson_concat,1.0,1.0
class_Statin,46,2,finlayson_structure,0.9833333333333334,0.6428571428571428
class_Statin,46,2,finlayson_expression,1.0,1.0
class_Statin,46,2,finlayson_concat,1.0,1.0
class_Statin,47,0,finlayson_structure,0.9933333333333334,0.75
class_Statin,47,0,finlayson_expression,0.8433333333333333,0.5204081632653061
class_Statin,47,0,finlayson_concat,0.99,0.7
class_Statin,47,1,finlayson_structure,0.9500000000000001,0.5588235294117647
class_Statin,47,1,finlayson_expression,0.8266666666666667,0.5185185185185185
class_Statin,47,1,finlayson_concat,0.9299999999999999,0.5434782608695652
class_Statin,47,2,finlayson_structure,0.9233333333333333,0.2916666666666667
class_Statin,47,2,finlayson_expression,0.8200000000000001,0.5178571428571429
class_Statin,47,2,finlayson_concat,0.91,0.2857142857142857
class_Statin,48,0,finlayson_structure,0.9,0.15948275862068967
class_Statin,48,0,finlayson_expression,0.72,0.03736413043478261
class_Statin,48,0,finlayson_concat,0.9166666666666666,0.10555555555555556
class_Statin,48,1,finlayson_structure,0.9,0.10250000000000001
class_Statin,48,1,finlayson_expression,0.7766666666666666,0.044217687074829926
class_Statin,48,1,finlayson_concat,0.8999999999999999,0.09722222222222221
class_Statin,48,2,finlayson_structure,0.7266666666666667,0.034922394678492244
class_Statin,48,2,finlayson_expression,0.7266666666666666,0.0386002886002886
