se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain,family
Dermatitis exfoliative,111,0.2078651685393258,0.565459076097374,0.5572380891529828,0.5705066768896556,-0.0082209869443912,0.0050476007922816,other
Diabetes mellitus,110,0.2059925093632958,0.6168739279588337,0.5173027444253859,0.5517581475128644,-0.0995711835334477,-0.0651157804459692,other
Diarrhoea,410,0.7677902621722846,0.6845397324940992,0.5179189614476789,0.5690991345397325,-0.1666207710464202,-0.1154405979543666,other
Diplopia,107,0.2003745318352059,0.6519731226334566,0.5852393355074526,0.6256867079603405,-0.066733787126004,-0.0262864146731161,other
Discomfort,253,0.4737827715355805,0.511597484984457,0.473000154726907,0.4768120630723138,-0.0385973302575499,-0.0347854219121432,other
Disorientation,86,0.1610486891385767,0.6010433970099668,0.5298224667774086,0.5468230897009967,-0.0712209302325581,-0.05422030730897,other
Disturbance in attention,71,0.1329588014981273,0.4644845313783347,0.5206704590393332,0.4964864782648374,0.0561859276609984,0.0320019468865027,other
Disturbance in sexual arousal,120,0.2247191011235955,0.6257648953301127,0.5313204508856683,0.5503019323671497,-0.0944444444444444,-0.0754629629629629,other
Dizziness,440,0.8239700374531835,0.6552707930367505,0.5153288201160542,0.5750725338491296,-0.1399419729206963,-0.0801982591876209,other
Dizziness postural,27,0.0505617977528089,0.6707575425524143,0.5273577324859375,0.639418511213383,-0.1433998100664767,-0.0313390313390312,other
Drug eruption,43,0.0805243445692883,0.4723156349168759,0.4871879884431393,0.4923980485956519,0.0148723535262634,0.020082413678776,other
Drug interaction,73,0.1367041198501872,0.5547202329658575,0.5194782040234154,0.546875464297388,-0.0352420289424421,-0.0078447686684695,other
Drug withdrawal syndrome,29,0.0543071161048689,0.7515875725503585,0.7222260157050189,0.8149539091840219,-0.0293615568453395,0.0633663366336634,other
Dry eye,89,0.1666666666666666,0.5668476202499685,0.567201110970837,0.5817952278752683,0.0003534907208685,0.0149476076252997,other
Dry mouth,267,0.5,0.6700192175510948,0.5459748348272525,0.5857425409249674,-0.1240443827238423,-0.0842766766261274,other
Dry skin,135,0.2528089887640449,0.623893065998329,0.5597141000649772,0.5761811937250534,-0.0641789659333518,-0.0477118722732756,other
Dysaesthesia,31,0.0580524344569288,0.6080292438914898,0.5900083370743282,0.6339383056499711,-0.0180209068171616,0.0259090617584812,other
Dysarthria,70,0.1310861423220973,0.6131465517241379,0.4772783251231527,0.5455357142857142,-0.1358682266009852,-0.0676108374384236,other
Dysgeusia,223,0.4176029962546816,0.5674736493014001,0.4559572044468155,0.4697561749311493,-0.1115164448545845,-0.0977174743702507,other
Dyskinesia,74,0.1385767790262172,0.7027614571092831,0.6217685076380728,0.682256169212691,-0.0809929494712102,-0.020505287896592,on-target/neuro-endocrine
Dysmenorrhoea,68,0.1273408239700374,0.6467748043423378,0.5017987881848018,0.5679752587730371,-0.1449760161575359,-0.0787995455693006,other
Dyspepsia,327,0.6123595505617978,0.6583492147911773,0.5295099646914565,0.5650401099144617,-0.1288392500997207,-0.0933091048767155,other
Dysphagia,133,0.249063670411985,0.6556728479552997,0.5040781504884405,0.5588472427952674,-0.1515946974668591,-0.0968256051600322,other
Dysphonia,58,0.1086142322097378,0.5680599826137351,0.5090915676615474,0.5715372355838888,-0.0589684149521877,0.0034772529701536,other
Dyspnoea,293,0.548689138576779,0.6183705549969551,0.5430586435925396,0.57265659297863,-0.0753119114044155,-0.0457139620183251,other
Dysuria,145,0.2715355805243445,0.5673610495523447,0.6092899565641344,0.6183848949561209,0.0419289070117897,0.0510238454037762,other
Ear disorder,30,0.0561797752808988,0.4599867724867724,0.5106481481481481,0.4397486772486772,0.0506613756613756,-0.0202380952380952,other
Ear infection,30,0.0561797752808988,0.5621693121693122,0.5735449735449736,0.6122354497354496,0.0113756613756613,0.0500661375661374,other
Ear pain,86,0.1610486891385767,0.567094061461794,0.5138860049833887,0.5456291528239202,-0.0532080564784053,-0.0214649086378737,other
Ecchymosis,91,0.1704119850187266,0.6283829037779376,0.4694763475801851,0.5211470245330291,-0.1589065561977525,-0.1072358792449085,other
Eczema,103,0.1928838951310861,0.4646002748181019,0.4602752686234316,0.4379969815060933,-0.0043250061946703,-0.0266032933120086,other
Ejaculation disorder,31,0.0580524344569288,0.8202398512152889,0.5426794074264092,0.7659847367408453,-0.2775604437888797,-0.0542551144744435,on-target/neuro-endocrine
Electrocardiogram QT prolonged,53,0.099250936329588,0.7032910995175147,0.6620248695720393,0.7009767387125878,-0.0412662299454753,-0.0023143608049268,other
Electrocardiogram abnormal,47,0.0880149812734082,0.5315653807505789,0.5981475818078553,0.5917689719952816,0.0665822010572764,0.0602035912447026,other
