se,struct_s1,expr_s1,struct_s2,expr_s2
Contusion,0.4926971140017259,0.47246636198024866,0.48192655565853815,0.5190642078685799
Convulsion,0.5953663081595821,0.48060980441066425,0.6007952694672282,0.47067627250451194
Coordination abnormal,0.6557315737450912,0.5362915074933882,0.6523121310073998,0.5382149440333395
Coronary artery disease,0.5393445776951196,0.5803886359263772,0.5629449111780928,0.5270313602257424
Cough,0.59064467176259,0.505789118705036,0.5881857014388489,0.538486398381295
Cyanosis,0.5497058823529413,0.6161176470588234,0.5527647058823528,0.6217058823529411
Cyst,0.6903463695916526,0.5864354920958693,0.6653983446436276,0.5810222413995998
Cystitis,0.5324824824824825,0.5151401401401402,0.5479979979979981,0.5198698698698698
Cystitis noninfective,0.5450723603750509,0.5338106400326131,0.5231349368120669,0.5502700774561761
Deafness,0.5715395715395716,0.46933066933066936,0.5430791430791431,0.4662892662892663
Decreased appetite,0.6329214309402621,0.5492480498320188,0.647297160901475,0.5536314218563003
Deep vein thrombosis,0.7363362313775176,0.616497007296081,0.7276857879330683,0.6181571934116825
Dehydration,0.6020259638080252,0.47712431156569624,0.614162077104642,0.534795436664044
Delirium,0.6637784632447232,0.5474993934772814,0.6305756767060617,0.47281045298582464
Delusion,0.7672220561864913,0.5865585774058577,0.7809698147041243,0.5773684997011357
Dementia,0.5697275184454671,0.3736576813499891,0.5923734385272846,0.4375776170647965
Depersonalisation,0.5938433950986252,0.4490436341900777,0.6518604303646145,0.456253735803945
Depressed level of consciousness,0.6276755651755652,0.4574915824915825,0.6193181818181819,0.4842472342472342
Depressed mood,0.4142857142857143,0.4579365079365079,0.4340608465608466,0.49695767195767204
Depression,0.4854004192872118,0.5284528301886792,0.49735849056603776,0.5424234800838574
Dermatitis,0.5911627319782855,0.47145562428986243,0.6113874510794092,0.5104658502714304
Dermatitis atopic,0.551911865569273,0.42031035665294925,0.5017575445816186,0.48238168724279834
Dermatitis bullous,0.4909462134961227,0.49738079524830886,0.47155997360171586,0.49756640818346815
Dermatitis contact,0.6315468409586057,0.5480900508351488,0.6487726942628904,0.5431808278867103
Dermatitis exfoliative,0.571528975784295,0.5368134091538347,0.5892062275040998,0.5440972887781399
Diabetes mellitus,0.6319039451114924,0.5056603773584906,0.6272512864493996,0.49991423670668955
Diarrhoea,0.679720692368214,0.5458693941778128,0.6844020456333596,0.5526750590086547
Diplopia,0.6359298737113965,0.5513799820525728,0.6382717940861039,0.53767865350522
Discomfort,0.5345111333042634,0.4925098110925126,0.5605474519291632,0.4479906601212496
Disorientation,0.5852886212624585,0.5290178571428572,0.5743095930232558,0.536155523255814
Disturbance in attention,0.5176588689806224,0.5456453624555105,0.5375840355306787,0.5315000152100507
Disturbance in sexual arousal,0.6058977455716587,0.5300925925925926,0.6410225442834139,0.5576892109500806
Dizziness,0.6720261121856865,0.5604206963249516,0.6830029013539651,0.5109284332688588
Dizziness postural,0.6106362773029439,0.4146394915625685,0.6612608663890716,0.6424866681276937
Drug eruption,0.4998342253587837,0.44782835220006634,0.5291526547624686,0.4557381707952446
Drug interaction,0.502778355570083,0.5151992392951593,0.5297893204171991,0.49448786140908685
Drug withdrawal syndrome,0.7882553772618641,0.7394332536701945,0.7142369409354729,0.703721406623421
Dry eye,0.6116651937886631,0.5450321929049362,0.5900265118040651,0.5620249968438329
Dry mouth,0.6651727475487101,0.5543772531526603,0.6871046023930761,0.53622578518425
Dry skin,0.6000556947925368,0.5873758470249698,0.5728952009653764,0.5568922305764412
Dysaesthesia,0.6048868081831591,0.5991791188353748,0.5636503559289425,0.61713589431155
Dysarthria,0.6184729064039409,0.4497536945812807,0.5856834975369458,0.5092672413793103
Dysgeusia,0.5641717012962669,0.4958401222730091,0.5773794933167996,0.4990988133173763
Dyskinesia,0.7062867215041129,0.6026439482961223,0.7430082256169214,0.564042303172738
Dysmenorrhoea,0.6851489522847766,0.483400656399899,0.6631216864428174,0.5427922241858116
Dyspepsia,0.6325843194610646,0.5106885904652159,0.6121821861750063,0.528283768411411
Dysphagia,0.6027600172501077,0.47968424802655013,0.6222601391258695,0.48515928224551397
Dysphonia,0.6188785859171255,0.5426687916545929,0.6451028687337004,0.5173500434656622
Dyspnoea,0.6117570419044651,0.5730247971336723,0.6162179768597851,0.5382153427839066
Dysuria,0.565109476110274,0.615831929793458,0.5305203439411401,0.6097686375321336
Ear disorder,0.4712301587301588,0.49953703703703706,0.4430224867724868,0.533068783068783
Ear infection,0.5311507936507937,0.5238756613756614,0.5622354497354497,0.5422619047619047
Ear pain,0.5854443521594683,0.5428000415282392,0.5730377906976744,0.4978716777408638
Ecchymosis,0.5870314786793343,0.47255227842135294,0.6305410165455312,0.4650857043633568
Eczema,0.5060933029982205,0.44207420088752736,0.4872615051922601,0.4351586961908409
Ejaculation disorder,0.7722054768165202,0.5198486500352721,0.8142756365035593,0.5771179375360738
Electrocardiogram QT prolonged,0.7351037539716786,0.6559447691523164,0.7200407955124937,0.6712430863374259
Electrocardiogram abnormal,0.586569968106951,0.6022543579885535,0.5767836078465638,0.5703613089256848
Embolism,0.6352048065603052,0.5953395851094061,0.6125928632322494,0.5384240652782852
Embolism venous,0.8046630968317715,0.5759705488621152,0.8313253012048193,0.5519857206604195
Encephalopathy,0.4474663612940166,0.5652447752648153,0.5352991697681077,0.5166332665330662
Endocrine disorder,0.569962444962445,0.5248963998964,0.5534835534835535,0.5662716912716912
Endophthalmitis,0.5557528166609764,0.48842608398770904,0.6053260498463638,0.5119153294639809
Eosinophilia,0.6117475639741371,0.5192787542118205,0.5838812494308352,0.4804662599034697
Epigastric discomfort,0.6173108328796951,0.6276537833424061,0.6300127018689893,0.6533599467731204
Epistaxis,0.6373272701071205,0.5224248634973501,0.6370710774502426,0.5273405601011961
Erectile dysfunction,0.6812574612017508,0.5520732192598488,0.6834381217668126,0.5569598089932352
Eructation,0.5946825396825397,0.5193650793650794,0.6121825396825397,0.5291534391534392
Erythema,0.5054664289958407,0.5177658942364824,0.5407754010695187,0.4897504456327985
Erythema multiforme,0.5479957569509808,0.486322143038561,0.5496989526840274,0.48112291395873485
Erythema nodosum,0.5275038351961429,0.5968295711885456,0.5516107823800132,0.5564321718167872
Euphoric mood,0.675330396475771,0.5759911894273128,0.6642345814977973,0.608535242290749
Extrapyramidal disorder,0.817671809256662,0.69474832476235,0.8230325697366371,0.6810347514414835
Extrasystoles,0.5291681890147364,0.5416311452117079,0.5302236836763691,0.5949742215726871
Extravasation,0.5902016932270917,0.5563994023904382,0.5899526892430279,0.5737674302788844
Eye disorder,0.5565844681634156,0.5412145748987854,0.55576002944424,0.5336326831063672
Eye haemorrhage,0.5557786702365015,0.46826193663543064,0.6217648371262828,0.46513833110218655
Eye irritation,0.557256543833296,0.5714468343507303,0.5265748346064113,0.5686023842244877
Eye pain,0.524056603773585,0.48059605488850776,0.539729845626072,0.511771012006861
Eye pruritus,0.573380086200599,0.6253195996785741,0.5194681861348528,0.6828840674994522
Eyelid oedema,0.6109792855768614,0.4974668120310396,0.6251523119348424,0.5362021419867888
Face oedema,0.5979030501089324,0.48152038593215063,0.617433084344849,0.4424019607843137
Faecal incontinence,0.5207766285610597,0.47898143107723945,0.5449706647311438,0.47777172926873523
Fatigue,0.598245215944331,0.5890023447545571,0.6029347250586188,0.581726041903033
Febrile neutropenia,0.7081581160639192,0.6995992677979519,0.6675901647454608,0.7525849700687677
Feeling abnormal,0.5803271569195135,0.5224232773595832,0.5712362478286045,0.5301968731905038
Feeling hot,0.4717948717948718,0.542035742035742,0.4988862988862989,0.474022274022274
Flank pain,0.5254223968565814,0.5820825147347741,0.457524557956778,0.6367779960707268
Flat affect,0.6036617961511048,0.5093995010691376,0.5785816108339273,0.537731646471846
Flatulence,0.6115536408714383,0.5338354560305322,0.6104549462940744,0.519711448108366
Fluid retention,0.5442182432616575,0.5800016351892732,0.5547924672280816,0.5750688142152454
Flushing,0.5841798006041351,0.5253940181240511,0.590158546319628,0.5115896890113157
Foetor hepaticus,0.4617408906882591,0.4116902834008097,0.4798076923076923,0.36184210526315785
Folliculitis,0.7283190451380666,0.6409794913086724,0.7321081797944394,0.6184341401032539
Fracture,0.6907435808638006,0.6026814426359275,0.7419482511255133,0.5206550239944591
Fungal infection,0.6064494680851064,0.542785904255319,0.5994348404255319,0.5664561170212765
Fungal skin infection,0.6480710139979515,0.3485148514851485,0.6616592693752135,0.4858996244452031
Furuncle,0.5863529411764706,0.48347058823529415,0.5749411764705882,0.4796470588235294
Gait disturbance,0.6406695980868626,0.5419270230656483,0.616909665972383,0.5211756537838463
Galactorrhoea,0.7800540123456791,0.7822916666666667,0.819753086419753,0.7843749999999999
Gamma-glutamyltransferase increased,0.5830242955671854,0.5612241361383565,0.5221987315010571,0.5770977021453576
Gastric ulcer,0.4879048582995951,0.42753036437246966,0.48628542510121453,0.42611336032388664
Gastritis,0.5638272444795822,0.4853554946772326,0.5742337605030429,0.4826895144238725
Gastroenteritis,0.5763842417701026,0.5664112250404749,0.5930922827846735,0.6099730167296276
Gastrointestinal disorder,0.6087036160761986,0.5502266725688032,0.5968281104513609,0.5650634225268267
Gastrointestinal haemorrhage,0.567884985319429,0.484479092841956,0.5804596537410145,0.5395160473828086
Gastrointestinal pain,0.6060491206791996,0.5257731958762887,0.585961188599151,0.4844906003638569
Gastrooesophageal reflux disease,0.5494768722466961,0.5540748898678414,0.5513215859030838,0.5440253303964757
Generalised oedema,0.44996128532713897,0.5213898567557105,0.4564943863724351,0.5120499419279907
Gingival bleeding,0.5202458256029685,0.3514842300556586,0.5241651205936919,0.3793599257884972
Gingivitis,0.5294076872422278,0.49814577340311234,0.49928950195820193,0.49766055522822583
Glaucoma,0.6452106993424985,0.498767184698147,0.603332337118948,0.48755977286312013
Glossitis,0.5092916342916343,0.4628010878010878,0.48967236467236464,0.5176443926443927
Glycosuria,0.6778036778036778,0.5523504273504274,0.64996114996115,0.5465552965552966
Gout,0.6183348655481498,0.39421971960468855,0.6380429786256033,0.39735118363594574
Grand mal convulsion,0.5804013268802002,0.5295557126543041,0.6336940562292674,0.5813257925933982
Gynaecomastia,0.650321683185533,0.5945705094766128,0.6614284472265692,0.633150756390193
Haematemesis,0.5685747088732163,0.4399868787928489,0.6184024930293588,0.470362473347548
Haematochezia,0.4644268774703557,0.444240542066629,0.45193393562958784,0.4155844155844156
Haematocrit decreased,0.6257763975155279,0.6889469226425748,0.6086956521739131,0.6938876341050254
Haematoma,0.5874931974471874,0.4273982090733687,0.53772324741503,0.4595557314599516
Haematuria,0.640009854644001,0.4986285620431963,0.6309435821630944,0.5010757986367742
