se,struct,expr,set
Nightmare,0.6528176418767228,0.5453408735684446,all
Nocturia,0.5515594647096913,0.45329699978415716,all
Nuchal rigidity,0.6533022533022533,0.5193991193991194,all
Nystagmus,0.6229193062169601,0.5174974878762725,all
Oedema,0.5830433318365514,0.5259177144140099,all
Oedema peripheral,0.6167018674122133,0.5380699861729444,all
Oesophagitis,0.4904214559386974,0.4807786263467818,all
Oliguria,0.536460989291178,0.4953908916173067,all
Opportunistic infection,0.722010524405734,0.4738401983910966,all
Oral candidiasis,0.6281299704612588,0.5445580549875029,all
Oropharyngeal discomfort,0.5806024495200265,0.5024826216484608,all
Oropharyngeal pain,0.5618782874117679,0.5301828686670482,all
Orthostatic hypotension,0.719355016639394,0.5214105793450882,all
Osteoarthritis,0.5575801598007679,0.48645844142367956,all
Otitis media,0.5347111394829237,0.41473827002872643,all
Pain,0.5564359267734553,0.4988987414187643,all
Pain in extremity,0.5738922901317838,0.5515201826294489,all
Pallor,0.5987472071496969,0.5700606447494414,all
Palpitations,0.6762437083826445,0.5998602654955584,all
Pancreatitis,0.621044825313118,0.4608767303889255,all
Pancytopenia,0.6471218854287345,0.550239482648315,all
Paraesthesia,0.6388356135191579,0.4913125630425208,all
Paralysis,0.4803180567084625,0.5088033553235178,all
Paranoia,0.6976141078838174,0.609998404085541,all
Parosmia,0.43538817588891227,0.5407111298127498,all
Pelvic pain,0.6953069769971179,0.4613083908858557,all
Peptic ulcer,0.6160164271047228,0.6077591856350212,all
Petechiae,0.632149866190901,0.511364852809991,all
Pharyngitis,0.5880840528186897,0.5461052564753681,all
Phlebitis,0.48198699154113156,0.35611498668823505,all
Photophobia,0.594106112705675,0.4896700673505925,all
Photosensitivity reaction,0.6412373120904535,0.5098772966722342,all
Platelet count decreased,0.6299173553719009,0.6044214876033057,all
Pleural effusion,0.6099070032264188,0.5140254317707345,all
Pneumonia,0.6163542340012927,0.5439883645765999,all
Pollakiuria,0.6366978609625669,0.546524064171123,all
Polyp,0.6164096290794705,0.5419633885272402,all
Polyuria,0.5922758557610958,0.5271305421535225,all
Priapism,0.7855475382003394,0.6787457555178269,all
Protein urine present,0.6186372685941819,0.5056309987222536,all
Proteinuria,0.6391895141895142,0.5124158249158248,all
Prurigo,0.5674089068825912,0.5558704453441297,all
Pruritus,0.5260345377158608,0.5238032737704611,all
Psoriasis,0.5360833927298647,0.5199572344975053,all
Psychotic disorder,0.6063920307149527,0.5842274566773893,all
Pulmonary embolism,0.6100766703176341,0.5654903427457056,all
Pulmonary oedema,0.5177784307963562,0.5396842358346913,all
Purpura,0.5466552315608919,0.5281303602058319,all
Rash,0.612062062062062,0.5674924924924925,all
Rash erythematous,0.6286961472765231,0.5310305560827482,all
Rash generalised,0.5685383466135459,0.6489666334661355,all
Rash maculo-papular,0.5852778387340599,0.5197864091873309,all
Rash pustular,0.5437216234013794,0.4722559179288116,all
Rectal haemorrhage,0.5572411894273128,0.5363160792951542,all
Renal failure,0.6563791678148252,0.4717897492422155,all
Renal failure acute,0.704596866244682,0.4569471827332158,all
Renal impairment,0.6156186390597298,0.45540502090218654,all
Respiratory failure,0.5427769985974754,0.5329904940003117,all
Respiratory tract infection,0.501376206911617,0.5350605094150029,all
Rhabdomyolysis,0.623994708994709,0.5775925925925925,all
Rhinitis,0.5455119303118293,0.5317510415351597,all
Rhinorrhoea,0.5395061728395062,0.6052854938271606,all
Salivary hypersecretion,0.6657948532948533,0.515993265993266,all
Scotoma,0.5462135422413477,0.5032182132480046,all
Seborrhoeic dermatitis,0.5130411988291319,0.5382061252129844,all
Sensory loss,0.6691735537190082,0.5920661157024794,all
Sepsis,0.7029966108307122,0.6199253895106429,all
Sexual dysfunction,0.575834879406308,0.5853896103896103,all
Shock,0.6015882592285999,0.5235923842128155,all
Sinus congestion,0.49146588828971455,0.5748775540493741,all
Sinusitis,0.5468059588435804,0.5368955939906578,all
Skin discolouration,0.45475031297816115,0.46799276672694395,all
Skin disorder,0.603548184517013,0.5554778488239324,all
Skin exfoliation,0.534966960352423,0.532874449339207,all
Skin hyperpigmentation,0.593060271646859,0.5081175721561969,all
Skin ulcer,0.5192386550027337,0.49682203389830504,all
Sleep disorder,0.6131037567084079,0.5384168157423972,all
Somnolence,0.719679018447717,0.6316416868976145,all
Speech disorder,0.5298419438546826,0.47241600107842147,all
Stevens-Johnson syndrome,0.5947417448284724,0.4836823846845689,all
Stomatitis,0.6466381255807779,0.5235463958582238,all
Stupor,0.609200926209096,0.502992703918913,all
Sudden death,0.6468235294117648,0.5597058823529412,all
Suicidal ideation,0.6920249776984836,0.5550401427297057,all
Suicide attempt,0.7048852533515111,0.5674164962508521,all
Swelling,0.49302744039586144,0.5477395411605938,all
Syncope,0.6076424962641429,0.5866647690884508,all
Systemic lupus erythematosus,0.7268145161290324,0.5542763157894737,all
Tachycardia,0.6808171667042635,0.5474988720956463,all
Tenderness,0.49696360697278175,0.5047839573594304,all
Tension,0.6053713717633945,0.5775806232960279,all
Thinking abnormal,0.6036085292509569,0.5567249863313286,all
Thirst,0.5765999144009191,0.5370216025048994,all
Thrombocytopenia,0.6690000424250138,0.5525858045903865,all
Thrombocytosis,0.6170150987224158,0.5137921022067363,all
Thrombophlebitis,0.5285449735449735,0.44026455026455025,all
Thrombosis,0.6175324675324675,0.4813079777365492,all
Tinnitus,0.6113077963320317,0.47566590187349006,all
Tongue disorder,0.6722203832432233,0.5234469822354629,all
Tongue oedema,0.6631725417439703,0.44939703153988875,all
Tooth disorder,0.5098253734483484,0.44468756574794865,all
Toothache,0.5593516536327494,0.4584298134475075,all
Torsade de pointes,0.7354834361203788,0.5812017659151417,all
Toxic epidermal necrolysis,0.6100908956547444,0.48706769139816725,all
Transaminases increased,0.4668567355666429,0.47055416963649327,all
Transient ischaemic attack,0.5640727835849787,0.5195509097948122,all
Tremor,0.6666666666666666,0.5491206615420452,all
Tubulointerstitial nephritis,0.7157426778242677,0.5544680215182307,all
Ulcer,0.6315511711931149,0.4214265416311452,all
Upper respiratory tract infection,0.5238793671720501,0.43513513513513513,all
Urethral disorder,0.6288508186779866,0.5809278350515464,all
Urinary incontinence,0.5351355483081941,0.4669282511210762,all
Urinary retention,0.6985067733990148,0.6043526785714286,all
Urinary tract disorder,0.6469998328597693,0.5886375032288453,all
Urinary tract infection,0.5508166228850202,0.5572778149423224,all
Urine output increased,0.6255125284738041,0.5222635175638413,all
Urticaria,0.5791194779869496,0.5737793444836121,all
Vaginal discharge,0.7181357457490646,0.5265476246862123,all
Vaginal haemorrhage,0.6063494264028004,0.5763005580009011,all
Vaginal infection,0.5951816422750933,0.508952661270542,all
Vaginal inflammation,0.5825817700817701,0.5015933140933141,all
Vascular purpura,0.588479262672811,0.5388940092165899,all
Vasculitis,0.559359426910299,0.5726484634551494,all
Vasodilation procedure,0.5145229633679607,0.6203184800437398,all
Ventricular arrhythmia,0.610393006575015,0.5857367005379558,all
Ventricular extrasystoles,0.5532641963569369,0.46114759456809196,all
Ventricular fibrillation,0.5268247676325861,0.48305084745762716,all
Ventricular tachycardia,0.6530945956994523,0.5381952961055242,all
Vertigo,0.6246886674968868,0.5047548964111853,all
Viral infection,0.5739898223974658,0.4838068277558723,all
Vision blurred,0.5724858200105725,0.5564699327075565,all
Visual acuity reduced,0.5811111660812349,0.4820165240191956,all
Visual impairment,0.5689337104907145,0.5253043906038617,all
Vomiting,0.6482591876208896,0.559477756286267,all
Weight decreased,0.5545101826719732,0.5719947379814497,all
Weight increased,0.6681443638760712,0.6046967699406725,all
Wheezing,0.5237308987308987,0.4999676249676249,all
White blood cell count decreased,0.5915492957746479,0.46777965087824247,all
Abdominal discomfort,0.5540189125295509,0.5316390858944051,responsive
Abdominal distension,0.5517587551642921,0.47017259353643004,responsive
Abdominal pain,0.576594345825115,0.544171078584034,responsive
Abdominal pain upper,0.5667359335038363,0.5039162404092071,responsive
Abnormal dreams,0.6699253923334191,0.5540519680987909,responsive
Abscess,0.6072854291417166,0.6395209580838324,responsive
