se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain
Dysmenorrhoea,68,0.12734082397003746,0.6467748043423378,0.5017987881848018,0.5679752587730371,-0.14497601615753597,-0.07879954556930069
Dyspepsia,327,0.6123595505617978,0.6583492147911773,0.5295099646914565,0.5650401099144617,-0.12883925009972075,-0.09330910487671551
Dysphagia,133,0.24906367041198502,0.6556728479552997,0.5040781504884405,0.5588472427952674,-0.15159469746685916,-0.09682560516003225
Dysphonia,58,0.10861423220973783,0.5680599826137351,0.5090915676615474,0.5715372355838888,-0.05896841495218774,0.003477252970153666
Dyspnoea,293,0.548689138576779,0.6183705549969551,0.5430586435925396,0.57265659297863,-0.07531191140441551,-0.045713962018325116
Dysuria,145,0.27153558052434457,0.5673610495523447,0.6092899565641344,0.6183848949561209,0.04192890701178975,0.05102384540377625
Ear disorder,30,0.056179775280898875,0.45998677248677244,0.5106481481481481,0.4397486772486772,0.05066137566137563,-0.02023809523809522
Ear infection,30,0.056179775280898875,0.5621693121693122,0.5735449735449736,0.6122354497354496,0.011375661375661372,0.050066137566137425
Ear pain,86,0.16104868913857678,0.567094061461794,0.5138860049833887,0.5456291528239202,-0.05320805647840532,-0.02146490863787376
Ecchymosis,91,0.1704119850187266,0.6283829037779376,0.4694763475801851,0.5211470245330291,-0.1589065561977525,-0.10723587924490852
Eczema,103,0.19288389513108614,0.46460027481810195,0.4602752686234316,0.43799698150609334,-0.0043250061946703555,-0.026603293312008613
Ejaculation disorder,31,0.05805243445692884,0.8202398512152889,0.5426794074264092,0.7659847367408453,-0.2775604437888797,-0.05425511447444353
Electrocardiogram QT prolonged,53,0.09925093632958802,0.7032910995175147,0.6620248695720393,0.7009767387125878,-0.04126622994547535,-0.0023143608049268627
Electrocardiogram abnormal,47,0.08801498127340825,0.5315653807505789,0.5981475818078553,0.5917689719952816,0.06658220105727641,0.06020359124470265
Embolism,51,0.09550561797752809,0.6445012787723785,0.5542564852027767,0.6207120529371168,-0.0902447935696018,-0.023789225835261663
Embolism venous,36,0.06741573033707865,0.8152052655064703,0.5765283355644801,0.7738732708612226,-0.2386769299419902,-0.04133199464524773
Encephalopathy,35,0.06554307116104868,0.5598053249355854,0.5115373604351561,0.5261379902662467,-0.04826796450042936,-0.03366733466933869
Endocrine disorder,66,0.12359550561797752,0.522015022015022,0.49135586635586637,0.512950012950013,-0.030659155659155668,-0.009065009065009066
Endophthalmitis,29,0.054307116104868915,0.6218504609081598,0.5193581427108228,0.5691362239672243,-0.10249231819733695,-0.052714236940935466
Eosinophilia,139,0.2602996254681648,0.5981604589745925,0.4576450232219288,0.4988434568800656,-0.14051543575266368,-0.09931700209452687
Epigastric discomfort,33,0.06179775280898876,0.6346095687413053,0.6034597471723221,0.67053771245388,-0.03114982156898316,0.0359281437125748
Epistaxis,173,0.32397003745318353,0.6135974252637983,0.5474036475429523,0.5723824315885546,-0.066193777720846,-0.04121499367524373
