se,struct,expr_strongest,expr_exemplar
Hepatic function abnormal,0.535845679626131,0.4974313082098704,0.5428060057671273
Hepatic necrosis,0.5211571675302245,0.5424993831729583,0.4850111028867506
Hepatitis,0.576901048550533,0.48024054982817865,0.4883690192968544
Hepatitis cholestatic,0.48614609571788414,0.5218981067685057,0.5446493865279922
Hepatobiliary disease,0.5891428308654465,0.44969189736043413,0.518969005794169
Hepatocellular injury,0.51409240430622,0.5239982057416268,0.5069153708133972
Hepatomegaly,0.5604370589574323,0.5363077623491919,0.47575688595492827
Hepatotoxicity,0.6868407835258664,0.5621965511468274,0.5940900719906245
Hernia,0.5232289646254733,0.5319109633324097,0.4938579477232844
Herpes simplex,0.572964034725093,0.5047999632538698,0.4576271186440678
Herpes zoster,0.6229387717605991,0.5647880207615635,0.44839465343805984
Hiccups,0.6820054945054945,0.4879807692307693,0.4639852335164836
Hirsutism,0.6866662058477916,0.5686735328679063,0.6311605723370429
Hostility,0.6280625227190113,0.43555070883315156,0.6932751726644857
Hot flush,0.5689295458192907,0.47119242497191466,0.4973519499277804
Hyperaesthesia,0.49164026322203264,0.48111138191567143,0.5043626614672192
Hyperbilirubinaemia,0.7032845941936852,0.48878999788090705,0.478364060182242
Hypercalcaemia,0.7494774559570021,0.5565840549417737,0.43184532696327266
Hypercholesterolaemia,0.5823568864165385,0.4789915966386554,0.5043989426756619
Hyperglycaemia,0.6102107956622396,0.5132204215913245,0.5359571097843304
Hyperhidrosis,0.6253549026081214,0.5380873775723561,0.5111257840871575
Hyperkalaemia,0.5871572275044784,0.4829819484635524,0.42308575628129164
Hyperkinesia,0.61515522875817,0.5386846405228759,0.6373774509803922
Hyperlipidaemia,0.6115485564304461,0.40687999106494666,0.4753448372144971
Hyperreflexia,0.791170222591669,0.40777685416089404,0.5879745081740093
Hypersensitivity,0.5801036531411958,0.5036784224497535,0.4730628239160663
Hypertension,0.6064320202748464,0.43726376963579555,0.4282624369142034
Hyperthyroidism,0.5017221584385763,0.47388059701492535,0.5448717948717949
Hypertonia,0.5382395382395382,0.41976541976541976,0.5450845450845451
Hypertriglyceridaemia,0.6263219741480611,0.4522706850072579,0.47245455173843914
Hyperuricaemia,0.7168605676009165,0.48166754803454964,0.5400581702802749
Hyperventilation,0.6392630625188764,0.46535789791603743,0.5551192993053458
Hypoaesthesia,0.584766755411506,0.5666859590230351,0.5177914110429447
Hypocalcaemia,0.6755604098403287,0.4839028449576117,0.5053310448847974
Hypoglycaemia,0.6191784914115012,0.5690814040328603,0.5136071695294996
Hypokalaemia,0.6376500857632933,0.5028587764436822,0.5474842767295597
Hypokinesia,0.56875,0.3968201754385965,0.5083333333333333
Hypomagnesaemia,0.7841146610928635,0.5360555389668558,0.4311734846222753
Hyponatraemia,0.6769441290360148,0.5175706757504295,0.5412699799109093
Hypophosphataemia,0.7237160434091381,0.620515656321283,0.5424759798161332
Hyporeflexia,0.4327543424317618,0.48158808933002484,0.5472952853598015
Hypotension,0.6367103957667292,0.5535663102193804,0.5432697607760997
Hypothermia,0.6611174894756984,0.5181783390738615,0.691542288557214
Hypothyroidism,0.5435215946843853,0.5216550890969496,0.6164904862579281
Hypotonia,0.5268343271973036,0.4013481980814104,0.5272664419669865
Hypoxia,0.6394412878787878,0.39891098484848486,0.5464015151515151
Ileus,0.5580610795454545,0.46401515151515144,0.45093513257575757
Ileus paralytic,0.7919602977667493,0.494590570719603,0.8094292803970223
Ill-defined disorder,0.5633796622097114,0.4963274102744546,0.5009236453201971
Immune system disorder,0.5485258703327021,0.43075915924341257,0.4759533328657268
Inappropriate antidiuretic hormone secretion,0.7560171999776624,0.4826604121293349,0.59697325068409
Increased appetite,0.6615028490028491,0.4625178062678063,0.5032051282051282
Infection,0.5951070336391437,0.5902359108781128,0.5104193971166449
Infestation,0.5985493535162411,0.601808052139178,0.5644644171134237
Inflammation,0.6075566274176006,0.5551142005958292,0.5069276965999905
Influenza,0.5605833763551884,0.5705730511099638,0.44104284976768204
Influenza like illness,0.5646457553058677,0.5958567415730337,0.46652621722846443
Injection site pain,0.4991319444444444,0.5916982323232322,0.5891729797979798
Injection site reaction,0.5453968253968254,0.4457142857142857,0.43851851851851853
Injury,0.5935077519379844,0.5257129014396456,0.5664451827242526
Insomnia,0.5925716440422323,0.5501508295625943,0.48098133484162897
Interstitial lung disease,0.7147585945997068,0.5407859270818556,0.49997635598430035
Intestinal obstruction,0.5117493472584855,0.47641427328111396,0.36269219611256165
Irritability,0.5307971014492754,0.5042701863354038,0.5519215838509317
Jaundice,0.6217304733460041,0.5335776993393067,0.5283962349533895
Jaundice cholestatic,0.6044896831972225,0.5197853789403085,0.5255454294393814
Joint swelling,0.4293491508897375,0.4013163240432274,0.4874461688469976
Keratitis,0.58452002010387,0.5702239347741107,0.5214162059529792
